dataset_id	disease_scope	tissue_site	platform	n_total	n_endpoint_available	endpoint_family	treatment_context	usability_decision	primary_role	risk_note
GSE73661	adult UC	colonic mucosal biopsy	Affymetrix Human Gene 1.0 ST Array	178_total;64_baseline_endpoint	mucosal_healing_n64	mucosal_healing	vedolizumab or infliximab induction	usable_endpoint_modeled	adult_direct_endpoint_anchor	Adult mucosal-healing anchor with baseline endpoint labels.
GSE12251	adult UC	colonic mucosal biopsy	Affymetrix HG-U133 Plus 2.0 Array	23_arrays;22_unique_patients_endpoint	week8_endoscopic_histologic_healing_n22	mucosal_healing_or_endoscopic_histologic_healing	ACT1 infliximab induction	usable_endpoint_modeled	adult_direct_endpoint_validation	Small adult healing cohort interpreted as supportive.
GSE92415	adult UC	colon mucosal biopsy	Affymetrix HT HG-U133+ PM Array	183_total;87_baseline_endpoint	week6_clinical_response_n87	treatment_response_or_remission	PURSUIT-SC golimumab induction	usable_endpoint_modeled	adult_direct_endpoint_validation	Adult treatment-response cohort with week 6 clinical-response label.
GSE206285	adult UC	sigmoid colon biopsy	Affymetrix HT HG-U133+ PM Array	568_total;550_UC_baseline;542_mucosal_healing_endpoint	week8_mucosal_healing_n542;week8_clinical_remission_n550	mucosal_healing;clinical_remission	UNIFI ustekinumab induction	usable_endpoint_modeled	adult_direct_endpoint_expansion	Largest adult direct endpoint cohort with mucosal healing and clinical remission.
GSE23597	adult UC	colonic mucosal biopsy	Affymetrix HG-U133 Plus 2.0 Array	113_total;45_baseline_endpoint	week8_response_n45;week30_response_n45	treatment_response_or_remission	ACT1 infliximab baseline and time-course	usable_endpoint_modeled	adult_direct_endpoint_validation	Adult response cohort with week 8 and week 30 response labels.
GSE16879	adult_or_mixed IBD	colon/ileum mucosal biopsy	Affymetrix HG-U133 Plus 2.0 Array	133_total;61_pretreatment_endpoint	infliximab_response_n61	treatment_response_or_remission	first infliximab induction	usable_endpoint_modeled	adult_direct_endpoint_validation	Adult or mixed response cohort; interpreted as cohort-specific response separation.
GSE193677	adult IBD/control	multisite mucosal biopsy	RNA-seq adjusted counts	2490_biopsies;1162_participants	IBD_vs_control_n1162;activity_correlations_available	adult_registry_replication	observational registry	usable_secondary_modeled	adult_registry_replication	Large adult registry cohort used for independent transcriptomic replication, activity correlation, biopsy-selection sensitivity, and matched random-gene benchmarking.
GSE109142	pediatric UC/control	rectum	Illumina RNA-seq processed quantification	226_total;206_UC_endpoint	week4_remission_n206	treatment_response_or_remission	standardized pediatric colitis therapy	usable_endpoint_modeled	pediatric_remission_context	Pediatric remission-context cohort interpreted separately from adult endpoint validation.
GSE57945	pediatric CD/UC/control	ileum	RNA-seq processed RPKM	322_metadata;254_axis_scored	macroscopic_inflammation_n171;deep_ulcer_n174	ulceration_or_inflammatory_severity	diagnostic pretreatment	usable_secondary_modeled	pediatric_mucosal_injury_support	Pediatric mucosal-injury cohort for ileal inflammation and deep ulceration context.
GSE101794	pediatric CD/control	ileum	RNA-seq processed quantification	304	CD_vs_nonIBD_n304	phenotype_validation	diagnostic pretreatment	usable_secondary_modeled	pediatric_phenotype_support	Pediatric ileal CD phenotype cohort.
GSE117993	pediatric IBD/control	rectum	RNA-seq processed quantification	190	IBD_vs_control_n190;CD_vs_control_n147;UC_vs_control_n98	phenotype_validation	diagnostic pretreatment	usable_secondary_modeled	pediatric_phenotype_support	Pediatric rectal IBD phenotype cohort.
IBDMDB_HMP2	IBD/non-IBD	longitudinal stool/biopsy; host biopsy subset to confirm	multi-omics	over_100_subjects	pending_manifest_intersection	longitudinal_activity	observational	conditional_secondary	longitudinal_activity_extension	Complex multi-omics candidate not modeled in the current manuscript.
